symbol,quarter_end,filing_date,roce_ttm,eps_growth_yoy,de_ratio,promoter_pledge_pct,revenue_growth_yoy,margin_expansion
RELIANCE,2021-03-31,2021-05-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2021-06-30,2021-08-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2021-09-30,2021-11-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2021-12-31,2022-02-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2022-03-31,2022-05-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2022-06-30,2022-08-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2022-09-30,2022-11-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2022-12-31,2023-02-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2023-03-31,2023-05-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2023-06-30,2023-08-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2023-09-30,2023-11-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2023-12-31,2024-02-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2024-03-31,2024-05-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2024-06-30,2024-08-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2024-09-30,2024-11-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2024-12-31,2025-02-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2025-03-31,2025-05-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2025-06-30,2025-08-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2025-09-30,2025-11-15,10.3,2.39,0.45,0.0,12.0,2.0
RELIANCE,2025-12-31,2026-02-15,10.3,2.39,0.45,0.0,12.0,2.0
TCS,2021-03-31,2021-05-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2021-06-30,2021-08-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2021-09-30,2021-11-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2021-12-31,2022-02-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2022-03-31,2022-05-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2022-06-30,2022-08-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2022-09-30,2022-11-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2022-12-31,2023-02-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2023-03-31,2023-05-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2023-06-30,2023-08-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2023-09-30,2023-11-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2023-12-31,2024-02-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2024-03-31,2024-05-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2024-06-30,2024-08-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2024-09-30,2024-11-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2024-12-31,2025-02-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2025-03-31,2025-05-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2025-06-30,2025-08-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2025-09-30,2025-11-15,63.0,2.75,0.11,0.0,12.0,2.0
TCS,2025-12-31,2026-02-15,63.0,2.75,0.11,0.0,12.0,2.0
HDFCBANK,2021-03-31,2021-05-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2021-06-30,2021-08-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2021-09-30,2021-11-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2021-12-31,2022-02-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2022-03-31,2022-05-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2022-06-30,2022-08-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2022-09-30,2022-11-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2022-12-31,2023-02-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2023-03-31,2023-05-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2023-06-30,2023-08-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2023-09-30,2023-11-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2023-12-31,2024-02-15,7.02,6.79,0.0,0.0,12.0,2.0
